"","good","anova_pr_1","Income_coef_1","Income_int_1","price_coef_1","price_int_1","Income_coef_2","Income_coef_2_pr","Price_coef_2","Price_coef_2_pr","Int_p_i_2","Int_p_i_2_pr","log_income_coef","log_income_coef_pr","log_income_int","log_income_int_pr","anova_pr_2","anova_pr_3","Income_coef_3_log","Income_coef_3_pr_log","Price_coef_3_log","Price_coef_3_pr_log","Int_p_i_3_log","Int_p_i_3_pr_log","anova_pr_4","anova_pr_5","Income_coef_4_log","Income_coef_4_pr_log","Price_coef_4_log","Price_coef_4_pr_log","Int_p_i_4_log","Int_p_i_4_pr_log"
"1","1",4.17922164388809e-50,0.782353311851386,20.0770083875411,22.9173048579977,43.8235567341871,0.0783273599678696,4.85270847518734e-76,-0.0994621116003233,0.0733524903712388,29.6479934967416,1.90662422421668e-07,31.4519800744975,1.05027655651423e-92,-133.479019625394,2.00961310712807e-76,2.69643822990729e-49,7.96382112313187e-67,31.5616162145665,1.05062490380401e-93,-0.113909860598443,0.00409811547791978,-123.058268434587,5.04051300790502e-52,NA,NA,31.5596265315963,1.12631413492296e-93,-10.588249724984,0.00443024068014611,-85.6802828091547,1.1861209985584e-06
"2","2",2.3588380212089e-39,0.232513723791506,4.60853242963521,1.94244170586993,12.3361411760668,0.0157499392384697,5.90830047994717e-62,-0.0337289922419345,6.00462954816705e-07,7.65360167512485,3.142764907604e-23,6.23172769072328,2.88855434643594e-61,-25.790168077524,1.73271569359449e-45,2.17680160086612e-43,1.61806584249962e-43,6.32089470637074,1.48357128507333e-67,-0.03460015768549,1.81472742835168e-08,-23.1037562225128,2.3799769372149e-42,NA,NA,6.31704197532782,4.01815833700295e-67,-3.01702213890675,5.17017794278131e-08,-12.6607641046478,1.10626914989677e-06
"3","3",1.11029243848906e-12,0.485096516490065,-3.86739339834193,41.0470430387185,25.0416790427285,0.0619980308464599,7.01001161764637e-90,-0.262381870600835,0.000477482162459366,22.2834846311399,0.00277512779534969,23.6323514356503,1.8003771414185e-59,-117.979321988876,6.92946785978172e-52,2.46430809697143e-14,NA,23.6947011904959,1.14337158529768e-59,-0.237091152207945,0.0755579466941758,-94.6472317309931,2.9250423106442e-10,NA,NA,23.6961948978812,1.09282283549201e-59,-24.0146402542847,0.0714864256009623,-7.78281735742264,0.898267010809474
"4","4",8.5462831217552e-58,1.24396944796865,37.9347242923155,12.9161879128765,20.9641586987611,0.0588599631410816,7.72515028015035e-47,0.324243064265941,7.24308191821088e-08,7.67357703734977,0.156212973314817,24.5528101015947,4.58470334496863e-50,-82.3181866386014,4.33209718080539e-28,1.55622671694348e-62,7.20671871135998e-65,24.0817358999311,9.24414428230001e-56,0.31655456279753,8.16162223355389e-10,-109.551003569697,4.16234935918802e-34,NA,NA,24.0758777807518,3.65826361984905e-56,29.9815715833789,2.73878174760025e-10,-215.852158167123,2.25354252714443e-19
"5","5",7.66692200751189e-05,0.88743216615983,-3.63710178085715,26.4449372123488,1.55040649365623,0.0848252700784569,2.37554459646614e-73,0.0694767119127114,0.299908257717054,-10.3501358866911,0.114442125219935,31.8365806220834,3.48104869923801e-48,-156.66563212128,1.38709505992108e-40,0.000242322747301913,NA,31.7658993043923,1.2938238053259e-47,0.0704905272073197,0.525568165125712,-163.128713631911,5.0478412916165e-24,NA,NA,31.7715518396053,1.29139224101425e-47,6.2446299066885,0.555076687793071,-184.876794996406,0.000208100559373591
"6","6",0.586889091065687,0.264773786494096,0.144260401742031,3.1579184269323,0.959584243179188,0.0141638342260979,2.56418545957999e-47,0.0238047809731686,0.0789051621184369,-2.11549069622571,0.106784260747566,5.57246614225469,6.66878421653035e-44,-26.8937516999734,7.14096221181255e-36,0.183189188150637,NA,5.53693746178736,1.4425195418366e-43,0.0232046673971716,0.111255890638307,-28.9222446998874,8.95553703980672e-29,NA,NA,5.53592032477415,1.3575578471157e-43,2.29930558180964,0.0992304340721153,-37.1747617472552,4.66337090010666e-08
"7","7",3.44515127690873e-42,0.970630649143873,-20.6468984830196,44.7026034837569,30.6834719777744,0.210714615878179,7.56546942165589e-114,-0.0595520853942589,0.235371860915474,-14.8247450294344,0.0035170906945466,80.7433496360107,5.72629743420133e-67,-410.802335943295,5.44883127993609e-60,4.54835716496129e-41,NA,80.8426175533922,2.38562725409002e-66,-0.0663136674779764,0.603001655712708,-404.807453449671,4.92124553776849e-46,NA,NA,80.8415165899592,2.35951936230916e-66,-6.40398652568432,0.601797432436108,-381.963321946299,6.0533975685756e-10
"8","7.1",6.33438441189159e-20,0.87645895236772,-10.096901692795,94.5129671352114,11.1354128334527,0.076146082960881,1.24500892086257e-61,-0.286560296383599,0.209586175270267,18.8831516000368,0.412855419081667,29.30833488463,9.33122313717657e-45,-151.885152779381,6.42521642944138e-40,4.1866297044074e-19,0.0255041057356792,29.3490288493815,1.86872295432013e-44,-0.275391569908137,0.421228800049125,-124.233656073249,0.000580335662651425,NA,NA,29.3493867968352,1.84375403360969e-44,-28.5029233626134,0.41245394542967,-20.5078968358372,0.898121254125251
"9","7_other",5.7196973260592e-29,0.676036279846906,-10.776526769993,50.0219895336529,31.1553217904902,0.135052822746476,6.49585866986237e-99,-0.210777892414331,4.19975713682178e-05,10.6046837902832,0.037239602916484,52.385414317788,6.31095863632219e-58,-264.732242071669,9.8212390450712e-52,2.50415780087329e-31,NA,52.5522433778309,7.07311161588718e-58,-0.206450823126007,0.115697745664808,-244.607211953314,7.39035705777376e-29,NA,NA,52.5492734858689,7.1532617284906e-58,-20.9499040177536,0.117612261076271,-168.785311608522,0.00711147171241018
"10","8",3.93468627765058e-22,0.362366591921874,4.34203297159818,4.78963584885855,-3.18816858339879,0.0225993767310654,4.770109440966e-66,0.13135216895423,8.76083206915401e-16,-8.12701476365238,2.87536561267257e-08,9.35225207208546,2.04714260883131e-63,-41.3741366242419,2.52147003923736e-50,4.68266840763413e-35,1.23303925043396e-30,9.15583681780983,1.11489822461577e-81,0.128655248205156,4.44008213371032e-23,-52.6231288621934,2.27191035721555e-67,NA,NA,9.16086837387469,1.19590822439279e-80,11.9827306572924,5.80145736603967e-22,-94.9459203264801,1.18023487190291e-40
"11","9",9.90455624804563e-30,0.792813244394268,-12.1103868881823,98.0808826433169,-0.715093745506698,0.17944023787349,8.13995285620271e-118,-0.329310848608252,0.00139409974210136,20.7195551707151,0.0415747794561015,68.055274577656,1.46625784212295e-62,-340.338989191669,6.18394573214207e-55,1.13066496599493e-30,NA,68.2529682783969,3.30639596470932e-62,-0.321003765918388,0.287521158210499,-309.306429664782,4.74588942951462e-17,NA,NA,68.2542198937516,3.28473904795703e-62,-32.7428222862,0.284953857586371,-190.643475876852,0.175479996264085
"12","10",3.18187823368403e-09,1.49221481745836,-9.57882890653993,4.16010622017315,0.843730960226634,0.0439392647720055,4.92736880215123e-25,0.0436916255451688,0.147427150678113,-13.0600212101916,9.1369744394299e-06,15.4190043971968,6.56913362582137e-17,-82.357834791076,1.20365155880938e-14,9.14663365394624e-09,NA,15.1427568516303,2.56296730296473e-16,0.0459109124277964,0.201527071850767,-84.637641607955,7.18549536905779e-15,NA,NA,15.1817147747542,2.38621770914307e-16,3.31840497677061,0.261225660036664,-95.5980973895784,3.74594192706133e-09
"13","11",1.78900783552795e-35,0.713862934997972,-12.7949281397071,24.6717984118794,20.0547331337192,0.128486063182055,2.19557513199021e-104,-0.0358214738587504,0.295582811321873,-9.39447006301478,0.00540706811206716,48.4381985959687,1.09099264618935e-57,-246.014482242415,6.27741194604188e-51,2.33214417239487e-34,NA,48.4918851852994,4.0991576272406e-57,-0.0326908924256115,0.70593012881814,-243.174582168518,7.23475329450329e-40,NA,NA,48.4972257791954,3.97480807213689e-57,-3.46714810726334,0.67628773538202,-230.532781885972,1.87839283925692e-08
"14","12",1.21681410832654e-13,0.55426504273038,-4.65030580831711,42.785236932543,21.5966645964213,0.100583366382568,4.60440627537053e-108,-0.226277929448476,5.66271828004249e-05,17.4524310836291,0.00134875018065889,38.2315542707662,1.29712298469141e-62,-189.172743426787,1.64374750592261e-54,3.78875922841592e-16,NA,38.3980953638969,9.66377400383126e-63,-0.233304256252775,0.0799899498764239,-167.204057667991,8.2596720355324e-22,NA,NA,38.3961935493379,9.79665863291398e-63,-22.4674666438867,0.0814485630964288,-87.0662628291065,0.139177022713115
